"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","STATES-SPACES.06","","Wed Nov 06 00:39:24 GMT 2024","passed","Wed Nov 06 00:39:24 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","147","ADD-REMOVE-MATCH-MIX-FLOAT-INTEGER.25","","Wed Nov 06 00:50:56 GMT 2024","failed","Wed Nov 06 00:50:56 GMT 2024","","SPACES","SPACES",""
"","147","FC-XP.20","","Wed Nov 06 01:16:46 GMT 2024","passed","Wed Nov 06 01:16:46 GMT 2024","","FORWARD-CHAINING","FORWARD-CHAINING",""
"","23595","TIME-SYNTHESIZE-SHORT.02","","Wed Nov 06 00:37:15 GMT 2024","passed","Wed Nov 06 00:37:38 GMT 2024","","SYNTH-BUFFER","SYNTH-BUFFER",""
"","3","FC-XP.19","","Wed Nov 06 01:16:46 GMT 2024","passed","Wed Nov 06 01:16:46 GMT 2024","","FORWARD-CHAINING","FORWARD-CHAINING",""
"","7000","basic.hanoi-one-space","","Wed Nov 06 00:33:47 GMT 2024","passed","Wed Nov 06 00:33:54 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","D1-GADT.14","","Wed Nov 06 01:10:04 GMT 2024","passed","Wed Nov 06 01:10:04 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
"","3","BASIC.09","","Wed Nov 06 01:07:00 GMT 2024","passed","Wed Nov 06 01:07:00 GMT 2024","","TRAVERSER","TRAVERSER",""
"","2","AI-SERVICE-COMPOSITION-SANITY.07","","Wed Nov 06 01:07:11 GMT 2024","passed","Wed Nov 06 01:07:11 GMT 2024","","AI-SERVICE","AI-SERVICE",""
"","2","STATES-SPACES.03","","Wed Nov 06 00:39:24 GMT 2024","passed","Wed Nov 06 00:39:24 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","OR-TEST.09","","Wed Nov 06 00:35:27 GMT 2024","passed","Wed Nov 06 00:35:27 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","345","SYNTHESIZE-VIA-LET-TEST.07","","Wed Nov 06 01:24:39 GMT 2024","failed","Wed Nov 06 01:24:39 GMT 2024","","EXPERIMENTS","EXPERIMENTS",""
"","2","STDLIB-METTALOG-TEST-PT2.54","","Wed Nov 06 00:53:03 GMT 2024","passed","Wed Nov 06 00:53:03 GMT 2024","","STDLIB-METTALOG","STDLIB-METTALOG",""
