"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TESTS5.02","","Mon Nov 04 00:46:15 GMT 2024","passed","Mon Nov 04 00:46:15 GMT 2024","","MAIN-BRANCH","MAIN-BRANCH",""
"","15","TYPE-PROP.03","","Mon Nov 04 01:11:50 GMT 2024","passed","Mon Nov 04 01:11:50 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","197","SYNTHESIZE-VIA-UNIFY-TEST.05","","Mon Nov 04 01:26:50 GMT 2024","failed","Mon Nov 04 01:26:50 GMT 2024","","EXPERIMENTS","EXPERIMENTS",""
"","5","SPACE-SUBTRACTION-TESTS.09","","Mon Nov 04 00:37:43 GMT 2024","passed","Mon Nov 04 00:37:43 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","6","OR-TEST.01","","Mon Nov 04 00:37:43 GMT 2024","passed","Mon Nov 04 00:37:43 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","F1-IMPORTS.14","","Mon Nov 04 00:45:46 GMT 2024","passed","Mon Nov 04 00:45:46 GMT 2024","","QUICK","QUICK",""
"","2","ADD-REMOVE-MATCH-FLOAT.06","","Mon Nov 04 00:53:03 GMT 2024","passed","Mon Nov 04 00:53:03 GMT 2024","","SPACES","SPACES",""
"","3","LET-SUPERPOSE-LIST.01","","Mon Nov 04 01:48:50 GMT 2024","passed","Mon Nov 04 01:48:50 GMT 2024","","TRANSPILER","TRANSPILER",""
"","3","D2-HIGHERFUNC.01","","Mon Nov 04 00:36:07 GMT 2024","passed","Mon Nov 04 00:36:07 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","B5-TYPES-PRELIM.25","","Mon Nov 04 01:11:50 GMT 2024","passed","Mon Nov 04 01:11:50 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","2","LTE.05","","Mon Nov 04 00:53:44 GMT 2024","passed","Mon Nov 04 00:53:44 GMT 2024","","STD","STD",""
"","2","A3-TWOSIDE.04","","Mon Nov 04 00:36:07 GMT 2024","passed","Mon Nov 04 00:36:07 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","INF-CTL-MONTH-XP-SHORT-3.09","","Mon Nov 04 02:04:14 GMT 2024","passed","Mon Nov 04 02:04:14 GMT 2024","","COMPARISONS","COMPARISONS",""
"","2","CML-UNSHARED.08","","Mon Nov 04 01:57:54 GMT 2024","passed","Mon Nov 04 01:57:54 GMT 2024","","BASIC","BASIC",""
"","1","D4-TYPE-PROP.05","","Mon Nov 04 00:45:46 GMT 2024","passed","Mon Nov 04 00:45:46 GMT 2024","","QUICK","QUICK",""
"","3","LETLET.01","","Mon Nov 04 01:48:50 GMT 2024","passed","Mon Nov 04 01:48:50 GMT 2024","","TRANSPILER","TRANSPILER",""
"","4","C1-GROUNDED-BASIC.08","","Mon Nov 04 00:36:07 GMT 2024","passed","Mon Nov 04 00:36:07 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","V2-PLN-XP-SYS-IMPL.02","","Mon Nov 04 00:50:44 GMT 2024","passed","Mon Nov 04 00:50:44 GMT 2024","","CHAINING","CHAINING",""
"","94","SHOW-TYPE.14","","Mon Nov 04 00:52:48 GMT 2024","failed","Mon Nov 04 00:52:48 GMT 2024","","INTROSPECT","INTROSPECT",""
"","5000","hyperon-experimental_scripts.c1_grounded_basic","","Mon Nov 04 00:36:03 GMT 2024","passed","Mon Nov 04 00:36:08 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","B0-CHAINING-PRELIM.03","","Mon Nov 04 00:36:07 GMT 2024","passed","Mon Nov 04 00:36:07 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
