"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 01:11:20 GMT 2024","Wed Oct 02 01:11:20 GMT 2024","3","","CHECK-TYPES","","CHECK-TYPES","","D2-HIGHERFUNC.03",""
"passed","Wed Oct 02 01:15:08 GMT 2024","Wed Oct 02 01:15:08 GMT 2024","2","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.28",""
"failed","Wed Oct 02 00:35:50 GMT 2024","Wed Oct 02 00:35:50 GMT 2024","13","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-INTERSECTION-TESTS.16",""
"passed","Wed Oct 02 00:44:01 GMT 2024","Wed Oct 02 00:44:01 GMT 2024","2","","QUICK","","QUICK","","D1-GADT.07",""
"passed","Wed Oct 02 02:03:25 GMT 2024","Wed Oct 02 02:03:25 GMT 2024","2","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-SHORT-3.12",""
"failed","Wed Oct 02 02:03:25 GMT 2024","Wed Oct 02 02:03:25 GMT 2024","219","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-LONG.01",""
"passed","Wed Oct 02 00:34:15 GMT 2024","Wed Oct 02 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B5-TYPES-PRELIM.06",""
"passed","Wed Oct 02 00:51:59 GMT 2024","Wed Oct 02 00:51:59 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-SYMBOLS.10",""
"passed","Wed Oct 02 00:35:50 GMT 2024","Wed Oct 02 00:35:50 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.11",""
"passed","Wed Oct 02 00:54:04 GMT 2024","Wed Oct 02 00:54:04 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.67",""
"passed","Wed Oct 02 00:44:30 GMT 2024","Wed Oct 02 00:44:30 GMT 2024","161","","MAIN-BRANCH","","MAIN-BRANCH","","NALIFIER-PREV.01",""
"passed","Wed Oct 02 01:06:47 GMT 2024","Wed Oct 02 01:06:47 GMT 2024","3","","STACK-BASED","","STACK-BASED","","REWRITES.01",""
"passed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:20 GMT 2024","9000","","WHOLE-TESTS","","WHOLE-TESTS","","iterative-chaining.ibc-xp",""
"passed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:15 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.first_answer",""
"passed","Wed Oct 02 01:48:26 GMT 2024","Wed Oct 02 01:48:26 GMT 2024","2","","WALK-THRU","","WALK-THRU","","TMPMATCH1.02",""
"passed","Wed Oct 02 01:17:58 GMT 2024","Wed Oct 02 01:17:58 GMT 2024","3","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.12",""
"passed","Wed Oct 02 00:54:14 GMT 2024","Wed Oct 02 00:54:14 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-1.06",""
"passed","Wed Oct 02 01:35:15 GMT 2024","Wed Oct 02 01:35:15 GMT 2024","136","","NARS-V0","","NARS-V0","","TESTS0.01",""
"passed","Wed Oct 02 00:44:01 GMT 2024","Wed Oct 02 00:44:01 GMT 2024","2","","QUICK","","QUICK","","C1-GROUNDED-BASIC.13",""
"passed","Wed Oct 02 01:11:20 GMT 2024","Wed Oct 02 01:11:20 GMT 2024","2","","CHECK-TYPES","","CHECK-TYPES","","E2-STATES.04",""
"passed","Wed Oct 02 00:48:59 GMT 2024","Wed Oct 02 00:48:59 GMT 2024","2","","CHAINING","","CHAINING","","TYPE-PROP.04",""
"passed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:47 GMT 2024","36000","","WHOLE-TESTS","","WHOLE-TESTS","","language_models.training_logicmoo",""
"passed","Wed Oct 02 01:19:17 GMT 2024","Wed Oct 02 01:19:17 GMT 2024","3","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-MONTH-XP.02",""
"passed","Wed Oct 02 01:21:22 GMT 2024","Wed Oct 02 01:21:22 GMT 2024","4","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.42",""
"passed","Wed Oct 02 00:39:46 GMT 2024","Wed Oct 02 00:39:46 GMT 2024","2","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","ZEROARGS.01",""
"passed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:15 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.types3",""
"passed","Wed Oct 02 01:15:08 GMT 2024","Wed Oct 02 01:15:08 GMT 2024","2","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.31",""
"passed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:16 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d2_higherfunc",""
"passed","Wed Oct 02 01:01:32 GMT 2024","Wed Oct 02 01:01:32 GMT 2024","95","","EDGES-TO-EDGES","","EDGES-TO-EDGES","","NTE.04",""
"passed","Wed Oct 02 00:51:59 GMT 2024","Wed Oct 02 00:51:59 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-S-SYMBOLS.11",""
"passed","Wed Oct 02 00:34:15 GMT 2024","Wed Oct 02 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B5-TYPES-PRELIM.22",""
"passed","Wed Oct 02 01:18:08 GMT 2024","Wed Oct 02 01:18:08 GMT 2024","3","","FORWARD-CHAINING","","FORWARD-CHAINING","","FC-XP.30",""
"passed","Wed Oct 02 01:24:06 GMT 2024","Wed Oct 02 01:24:06 GMT 2024","2","","POLYWARD-CHAINING","","POLYWARD-CHAINING","","PC-XP.09",""
"failed","Wed Oct 02 01:25:58 GMT 2024","Wed Oct 02 01:25:58 GMT 2024","382","","EXPERIMENTS","","EXPERIMENTS","","SELF-CONTAINED-SYNTHESIZE.08",""
"passed","Wed Oct 02 00:34:15 GMT 2024","Wed Oct 02 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B5-TYPES-PRELIM.04",""
"passed","Wed Oct 02 01:11:01 GMT 2024","Wed Oct 02 01:11:01 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.70",""
"passed","Wed Oct 02 00:44:01 GMT 2024","Wed Oct 02 00:44:01 GMT 2024","2","","QUICK","","QUICK","","F1-MODULEA.05",""
"passed","Wed Oct 02 00:54:14 GMT 2024","Wed Oct 02 00:54:14 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-4.08",""
"passed","Wed Oct 02 00:35:50 GMT 2024","Wed Oct 02 00:35:50 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","00-LANG-CASE.02",""
"passed","Wed Oct 02 01:11:20 GMT 2024","Wed Oct 02 01:11:20 GMT 2024","2","","CHECK-TYPES","","CHECK-TYPES","","D1-GADT.12",""
"passed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:29 GMT 2024","18000","","WHOLE-TESTS","","WHOLE-TESTS","","main-branch.tests1_pre",""
"passed","Wed Oct 02 02:09:36 GMT 2024","Wed Oct 02 02:09:39 GMT 2024","3593","","LANGUAGE-MODELS","","LANGUAGE-MODELS","","TRAINING-BI.03",""
"failed","Wed Oct 02 00:54:04 GMT 2024","Wed Oct 02 00:54:04 GMT 2024","93","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.72",""
"passed","Wed Oct 02 00:44:01 GMT 2024","Wed Oct 02 00:44:01 GMT 2024","2","","QUICK","","QUICK","","C1-GROUNDED-BASIC.09",""
"failed","Wed Oct 02 00:48:59 GMT 2024","Wed Oct 02 00:48:59 GMT 2024","67","","CHAINING","","CHAINING","","TYPES-PRELIM.11",""
"failed","Wed Oct 02 00:34:11 GMT 2024","Wed Oct 02 00:34:51 GMT 2024","40000","","WHOLE-TESTS","","WHOLE-TESTS","","comparisons.fibo_arg1c",""
"passed","Wed Oct 02 01:08:18 GMT 2024","Wed Oct 02 01:08:18 GMT 2024","2","","TRAVERSER","","TRAVERSER","","BASIC.07",""
"passed","Wed Oct 02 00:35:50 GMT 2024","Wed Oct 02 00:35:50 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","UNIQUE-TEST.01",""
"passed","Wed Oct 02 00:44:30 GMT 2024","Wed Oct 02 00:44:30 GMT 2024","2","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS2.01",""
