"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 02:00:28 GMT 2024","Sat Sep 21 02:00:28 GMT 2024","2","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-SHORT-3.11",""
"failed","Sat Sep 21 00:32:31 GMT 2024","Sat Sep 21 00:32:31 GMT 2024","46","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","E3-MATCH-STATES.03",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:33 GMT 2024","7000","","WHOLE-TESTS","","WHOLE-TESTS","","match.DeductionImplicationDirectIntroductionMatchTest",""
"passed","Sat Sep 21 01:22:18 GMT 2024","Sat Sep 21 01:22:18 GMT 2024","4","","ORIENTATION","","ORIENTATION","","ORIENTATION-TEST.03",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:31 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","forward-chaining.fc-xp",""
"passed","Sat Sep 21 01:12:49 GMT 2024","Sat Sep 21 01:12:49 GMT 2024","2","","COMMON","","COMMON","","LISTTEST.06",""
"passed","Sat Sep 21 00:59:26 GMT 2024","Sat Sep 21 00:59:26 GMT 2024","76","","EDGES-TO-EDGES","","EDGES-TO-EDGES","","NTE.04",""
"failed","Sat Sep 21 00:34:05 GMT 2024","Sat Sep 21 00:34:05 GMT 2024","115","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-INTERSECTION-TESTS.09",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:30 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","common.MaybeTest",""
"passed","Sat Sep 21 00:32:31 GMT 2024","Sat Sep 21 00:32:31 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","F1-IMPORTS.11",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:30 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","walk_thru.comma_is_not_special",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:31 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","logic.puzzle",""
"passed","Sat Sep 21 01:15:18 GMT 2024","Sat Sep 21 01:15:18 GMT 2024","2","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.16",""
"passed","Sat Sep 21 01:51:56 GMT 2024","Sat Sep 21 01:51:56 GMT 2024","2","","MULTIDIRECTIONAL","","MULTIDIRECTIONAL","","IOIOIOI.02",""
"passed","Sat Sep 21 00:42:33 GMT 2024","Sat Sep 21 00:42:33 GMT 2024","1","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS2.10",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:31 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","traverser.basic",""
"passed","Sat Sep 21 00:42:06 GMT 2024","Sat Sep 21 00:42:06 GMT 2024","2","","QUICK","","QUICK","","C1-GROUNDED-BASIC.18",""
"passed","Sat Sep 21 01:18:38 GMT 2024","Sat Sep 21 01:18:38 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.11",""
"passed","Sat Sep 21 00:34:05 GMT 2024","Sat Sep 21 00:34:05 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","00-LANG-CASE.09",""
"passed","Sat Sep 21 01:32:25 GMT 2024","Sat Sep 21 01:32:25 GMT 2024","2","","NARS-V0","","NARS-V0","","TESTS0.03",""
"passed","Sat Sep 21 01:23:11 GMT 2024","Sat Sep 21 01:23:11 GMT 2024","3","","EXPERIMENTS","","EXPERIMENTS","","UNIFY-VIA-LET.01",""
"passed","Sat Sep 21 00:52:00 GMT 2024","Sat Sep 21 00:52:00 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.32",""
"passed","Sat Sep 21 01:15:18 GMT 2024","Sat Sep 21 01:15:18 GMT 2024","3","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.31",""
"passed","Sat Sep 21 00:37:56 GMT 2024","Sat Sep 21 00:37:56 GMT 2024","2","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SUPERCOLLAPSE.07",""
"passed","Sat Sep 21 00:32:26 GMT 2024","Sat Sep 21 00:32:30 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e3_match_states",""
"passed","Sat Sep 21 00:50:00 GMT 2024","Sat Sep 21 00:50:00 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-STRINGS.06",""
