"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 29 01:22:08 GMT 2024","Sun Sep 29 01:22:08 GMT 2024","2","","FORWARD-CHAINING","","FORWARD-CHAINING","","FC-XP.24",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:18 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","graphml.graphml_csv_test",""
"failed","Sun Sep 29 00:58:06 GMT 2024","Sun Sep 29 00:58:06 GMT 2024","46","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.18",""
"failed","Sun Sep 29 02:07:29 GMT 2024","Sun Sep 29 02:07:29 GMT 2024","18","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-SHORT-6.01",""
"passed","Sun Sep 29 00:58:17 GMT 2024","Sun Sep 29 00:58:17 GMT 2024","3","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-4.01",""
"passed","Sun Sep 29 00:58:06 GMT 2024","Sun Sep 29 00:58:06 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.24",""
"passed","Sun Sep 29 01:15:02 GMT 2024","Sun Sep 29 01:15:02 GMT 2024","1","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.05",""
"passed","Sun Sep 29 01:19:10 GMT 2024","Sun Sep 29 01:19:10 GMT 2024","2","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.24",""
"passed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","3","","CHECK-TYPES","","CHECK-TYPES","","D1-GADT.11",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.04",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","4","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","03-SORING-VIA-INSERT.01",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:18 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","comparisons.inf-ctl-month-xp-short",""
"failed","Sun Sep 29 01:21:57 GMT 2024","Sun Sep 29 01:21:57 GMT 2024","44","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.13",""
"passed","Sun Sep 29 00:56:03 GMT 2024","Sun Sep 29 00:56:03 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-INTEGER.35",""
"passed","Sun Sep 29 01:18:03 GMT 2024","Sun Sep 29 01:18:03 GMT 2024","3","","DEPENDENT-TYPES","","DEPENDENT-TYPES","","MODUSPONENSDTLTEST.02",""
"failed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:28 GMT 2024","15000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.debug_mettalogTestCurried",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:18 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.b5_types_prelim",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","E2-STATES.01",""
"failed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:53 GMT 2024","40000","","WHOLE-TESTS","","WHOLE-TESTS","","match.tmpMatch",""
"passed","Sun Sep 29 00:43:55 GMT 2024","Sun Sep 29 00:43:55 GMT 2024","3","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","LETLET.01",""
"passed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","3","","CHECK-TYPES","","CHECK-TYPES","","D3-DEPTYPES.07",""
"passed","Sun Sep 29 00:48:08 GMT 2024","Sun Sep 29 00:48:08 GMT 2024","2","","QUICK","","QUICK","","D1-GADT.03",""
"passed","Sun Sep 29 02:01:09 GMT 2024","Sun Sep 29 02:01:09 GMT 2024","2","","BASIC","","BASIC","","HYPERPOSING.07",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-INTERSECTION-TESTS.04",""
"passed","Sun Sep 29 01:52:01 GMT 2024","Sun Sep 29 01:52:01 GMT 2024","2","","TRANSPILER","","TRANSPILER","","LET-SUPERPOSE-IF-CASE.02",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","multidirectional.obif_easy",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:18 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e2_states",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","84","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B4-NONDETERM.03",""
"passed","Sun Sep 29 01:19:23 GMT 2024","Sun Sep 29 01:19:23 GMT 2024","3","","COMMON","","COMMON","","LISTTEST.19",""
"passed","Sun Sep 29 00:56:03 GMT 2024","Sun Sep 29 00:56:03 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-SYMBOLS.04",""
"passed","Sun Sep 29 00:46:01 GMT 2024","Sun Sep 29 00:46:01 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.05",""
"failed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","143","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B5-TYPES-PRELIM.08",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:19 GMT 2024","6000","","WHOLE-TESTS","","WHOLE-TESTS","","nars_v0.tests0",""
"failed","Sun Sep 29 01:21:57 GMT 2024","Sun Sep 29 01:21:57 GMT 2024","47","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-TEST.05",""
"failed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","180","","CHECK-TYPES","","CHECK-TYPES","","D4-TYPE-PROP.10",""
"passed","Sun Sep 29 01:22:13 GMT 2024","Sun Sep 29 01:22:13 GMT 2024","826","","HOL","","HOL","","NATSIMPLETEST.05",""
"passed","Sun Sep 29 00:58:17 GMT 2024","Sun Sep 29 00:58:17 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-1.07",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D3-DEPTYPES.05",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","115","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B4-NONDETERM.11",""
"passed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","2","","CHECK-TYPES","","CHECK-TYPES","","D2-HIGHERFUNC.17",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","OR-TEST.16",""
"passed","Sun Sep 29 01:19:23 GMT 2024","Sun Sep 29 01:19:23 GMT 2024","3","","COMMON","","COMMON","","LISTTEST.14",""
"passed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","17","","CHECK-TYPES","","CHECK-TYPES","","D2-HIGHERFUNC.25",""
"passed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","2","","CHECK-TYPES","","CHECK-TYPES","","D4-TYPE-PROP.07",""
"failed","Sun Sep 29 00:53:03 GMT 2024","Sun Sep 29 00:53:03 GMT 2024","55","","CHAINING","","CHAINING","","TYPES-PRELIM.12",""
"passed","Sun Sep 29 01:57:22 GMT 2024","Sun Sep 29 01:57:22 GMT 2024","2","","ITERATORS","","ITERATORS","","COMBINED.01",""
"failed","Sun Sep 29 01:39:15 GMT 2024","Sun Sep 29 01:39:15 GMT 2024","76","","NARS-V0","","NARS-V0","","TESTS1.01",""
"passed","Sun Sep 29 01:23:19 GMT 2024","Sun Sep 29 01:23:19 GMT 2024","4","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-XP.06",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.match_feval",""
"passed","Sun Sep 29 00:38:07 GMT 2024","Sun Sep 29 00:38:07 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","F1-IMPORTS.11",""
"passed","Sun Sep 29 02:01:09 GMT 2024","Sun Sep 29 02:01:09 GMT 2024","2","","BASIC","","BASIC","","HYPERPOSING-UNSHARED.05",""
"failed","Sun Sep 29 02:01:09 GMT 2024","Sun Sep 29 02:01:09 GMT 2024","98","","BASIC","","BASIC","","STATE-TYPES.02",""
"passed","Sun Sep 29 01:52:28 GMT 2024","Sun Sep 29 01:52:28 GMT 2024","2","","WALK-THRU","","WALK-THRU","","IMPL-METTALOGTESTCURRIED.03",""
"passed","Sun Sep 29 00:58:17 GMT 2024","Sun Sep 29 00:58:17 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-1.04",""
"failed","Sun Sep 29 01:07:40 GMT 2024","Sun Sep 29 01:07:40 GMT 2024","450","","PROB-DEP-TYPES","","PROB-DEP-TYPES","","PROB-DEP-TYPES.08",""
"passed","Sun Sep 29 00:56:03 GMT 2024","Sun Sep 29 00:56:03 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-MIX-FLOAT-INTEGER.18",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","UNIQUE-TEST.06",""
"passed","Sun Sep 29 01:25:23 GMT 2024","Sun Sep 29 01:25:23 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.39",""
"passed","Sun Sep 29 01:20:01 GMT 2024","Sun Sep 29 01:20:01 GMT 2024","4","","CURRIED-CHAINING","","CURRIED-CHAINING","","CURRIED-CHAINER.07",""
"passed","Sun Sep 29 00:58:17 GMT 2024","Sun Sep 29 00:58:17 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-1.06",""
"passed","Sun Sep 29 01:15:23 GMT 2024","Sun Sep 29 01:15:23 GMT 2024","14","","CHECK-TYPES","","CHECK-TYPES","","D3-DEPTYPES.04",""
"passed","Sun Sep 29 01:19:14 GMT 2024","Sun Sep 29 01:19:14 GMT 2024","2","","BACKWARD-CHAINING","","BACKWARD-CHAINING","","BC-XP.22",""
"passed","Sun Sep 29 00:41:44 GMT 2024","Sun Sep 29 00:41:44 GMT 2024","3","","SYNTH-BUFFER","","SYNTH-BUFFER","","TIME-SYNTHESIZE-SHORT.03",""
"passed","Sun Sep 29 01:25:23 GMT 2024","Sun Sep 29 01:25:23 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.38",""
"passed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:19 GMT 2024","6000","","WHOLE-TESTS","","WHOLE-TESTS","","prob-dep-types.prob_dep_types",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.15",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.08",""
"passed","Sun Sep 29 02:13:40 GMT 2024","Sun Sep 29 02:13:41 GMT 2024","1109","","LANGUAGE-MODELS","","LANGUAGE-MODELS","","PLLM-PENNTREE.01",""
"failed","Sun Sep 29 00:53:03 GMT 2024","Sun Sep 29 00:53:03 GMT 2024","259","","CHAINING","","CHAINING","","BACKWARD-CHAIN.01",""
"passed","Sun Sep 29 00:38:17 GMT 2024","Sun Sep 29 00:38:17 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B4-NONDETERM.04",""
"passed","Sun Sep 29 01:15:02 GMT 2024","Sun Sep 29 01:15:02 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.19",""
"passed","Sun Sep 29 01:19:10 GMT 2024","Sun Sep 29 01:19:10 GMT 2024","2","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.33",""
"passed","Sun Sep 29 01:52:28 GMT 2024","Sun Sep 29 01:52:28 GMT 2024","2","","WALK-THRU","","WALK-THRU","","TMPMATCH1.03",""
"passed","Sun Sep 29 00:56:03 GMT 2024","Sun Sep 29 00:56:03 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-FLOAT.15",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.13",""
"passed","Sun Sep 29 00:39:55 GMT 2024","Sun Sep 29 00:39:55 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-SUBTRACTION-TESTS.06",""
"failed","Sun Sep 29 00:38:13 GMT 2024","Sun Sep 29 00:38:56 GMT 2024","43000","","WHOLE-TESTS","","WHOLE-TESTS","","language_models.training_terms",""
"passed","Sun Sep 29 00:56:03 GMT 2024","Sun Sep 29 00:56:03 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-INTEGER.06",""
