"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","IOIOIOI.02","","Sat Nov 09 01:52:26 GMT 2024","passed","Sat Nov 09 01:52:26 GMT 2024","","MULTIDIRECTIONAL","MULTIDIRECTIONAL",""
"","3","TESTS1.01","","Sat Nov 09 01:27:56 GMT 2024","passed","Sat Nov 09 01:27:56 GMT 2024","","CURRENT","CURRENT",""
"","39","STDLIB-METTALOG-TEST-PT2.18","","Sat Nov 09 00:52:13 GMT 2024","failed","Sat Nov 09 00:52:13 GMT 2024","","STDLIB-METTALOG","STDLIB-METTALOG",""
"","4","TYPE-PROP.41","","Sat Nov 09 01:08:49 GMT 2024","passed","Sat Nov 09 01:08:49 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","4000","hyperon-experimental_scripts.b5_types_prelim","","Sat Nov 09 00:33:08 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","BC-XP.27","","Sat Nov 09 01:13:01 GMT 2024","passed","Sat Nov 09 01:13:01 GMT 2024","","BACKWARD-CHAINING","BACKWARD-CHAINING",""
"","1","INTERSECTION-TESTS.20","","Sat Nov 09 00:34:45 GMT 2024","passed","Sat Nov 09 00:34:45 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","CHAPTER-2-2.05","","Sat Nov 09 00:52:22 GMT 2024","passed","Sat Nov 09 00:52:22 GMT 2024","","SICP-BOOK","SICP-BOOK",""
"","42","FC-XP.09","","Sat Nov 09 01:15:52 GMT 2024","failed","Sat Nov 09 01:15:52 GMT 2024","","FORWARD-CHAINING","FORWARD-CHAINING",""
"","2","C2-SPACES.05","","Sat Nov 09 00:33:03 GMT 2024","passed","Sat Nov 09 00:33:03 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","1","TYPE-PROP.24","","Sat Nov 09 01:08:49 GMT 2024","passed","Sat Nov 09 01:08:49 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","76","TYPE-PROP.82","","Sat Nov 09 01:08:49 GMT 2024","failed","Sat Nov 09 01:08:49 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","3","IFC-XP.40","","Sat Nov 09 01:19:07 GMT 2024","passed","Sat Nov 09 01:19:07 GMT 2024","","ITERATIVE-CHAINING","ITERATIVE-CHAINING",""
"","3","FORWARD-CHAINER-XP.30","","Sat Nov 09 01:15:43 GMT 2024","passed","Sat Nov 09 01:15:43 GMT 2024","","FORWARD-CHAINER","FORWARD-CHAINER",""
"","1","SUBTRACTION-TEST.09","","Sat Nov 09 00:34:45 GMT 2024","passed","Sat Nov 09 00:34:45 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","NILS-IF-CONTROL-TEST-3.02","","Sat Nov 09 02:01:07 GMT 2024","passed","Sat Nov 09 02:01:07 GMT 2024","","COMPARISONS","COMPARISONS",""
"","48","APPEND-USING-EQUALITY.04","","Sat Nov 09 01:52:26 GMT 2024","failed","Sat Nov 09 01:52:26 GMT 2024","","MULTIDIRECTIONAL","MULTIDIRECTIONAL",""
"","61","CHAPTER-2-4.07","","Sat Nov 09 00:52:22 GMT 2024","failed","Sat Nov 09 00:52:22 GMT 2024","","SICP-BOOK","SICP-BOOK",""
"","2","C1-GROUNDED-BASIC.02","","Sat Nov 09 00:33:12 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","BACKWARD-CHAINER-XP.45","","Sat Nov 09 01:12:56 GMT 2024","passed","Sat Nov 09 01:12:56 GMT 2024","","BACKWARD-CHAINER","BACKWARD-CHAINER",""
"","2","DEFINE-IF-LIKE.05","","Sat Nov 09 01:44:43 GMT 2024","passed","Sat Nov 09 01:44:43 GMT 2024","","DIRECT-COMP","DIRECT-COMP",""
"","4000","chaining.pln_stv","","Sat Nov 09 00:33:08 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","78","TYPE-PROP.60","","Sat Nov 09 01:08:49 GMT 2024","failed","Sat Nov 09 01:08:49 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","2","INTERSECTION-TESTS.03","","Sat Nov 09 00:34:45 GMT 2024","passed","Sat Nov 09 00:34:45 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","00A-LANG-COMPILED-CASE.01","","Sat Nov 09 01:44:43 GMT 2024","passed","Sat Nov 09 01:44:43 GMT 2024","","DIRECT-COMP","DIRECT-COMP",""
"","2","INTERSECTION-TESTS.17","","Sat Nov 09 00:34:45 GMT 2024","passed","Sat Nov 09 00:34:45 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","44","SUBTYPING-TEST.03","","Sat Nov 09 01:21:55 GMT 2024","passed","Sat Nov 09 01:21:55 GMT 2024","","SUBTYPING","SUBTYPING",""
"","2","DEDUCTIONFORMULATEST.08","","Sat Nov 09 01:13:34 GMT 2024","passed","Sat Nov 09 01:13:34 GMT 2024","","FORMULA","FORMULA",""
"","1","INTERSECTION-TESTS.04","","Sat Nov 09 00:34:45 GMT 2024","passed","Sat Nov 09 00:34:45 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","B5-TYPES-PRELIM.04","","Sat Nov 09 01:08:49 GMT 2024","passed","Sat Nov 09 01:08:49 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","46","FC-XP.05","","Sat Nov 09 01:15:52 GMT 2024","failed","Sat Nov 09 01:15:52 GMT 2024","","FORWARD-CHAINING","FORWARD-CHAINING",""
"","4000","hyperon-mettalog_sanity.subtraction_test","","Sat Nov 09 00:33:08 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","5","ADD-REMOVE-MATCH-INTEGER.42","","Sat Nov 09 00:50:08 GMT 2024","passed","Sat Nov 09 00:50:08 GMT 2024","","SPACES","SPACES",""
"","2","CHAPTER-2-4.13","","Sat Nov 09 00:52:22 GMT 2024","passed","Sat Nov 09 00:52:22 GMT 2024","","SICP-BOOK","SICP-BOOK",""
"","11000","bigram-sentence-evaluator.wordVectors","","Sat Nov 09 00:33:08 GMT 2024","passed","Sat Nov 09 00:33:19 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","TESTS0.02","","Sat Nov 09 01:36:55 GMT 2024","passed","Sat Nov 09 01:36:55 GMT 2024","","NEW","NEW",""
"","23736","SYNTHESIZE.01","","Sat Nov 09 00:36:30 GMT 2024","passed","Sat Nov 09 00:36:53 GMT 2024","","SYNTH-BUFFER","SYNTH-BUFFER",""
"","4","E2-STATES.02","","Sat Nov 09 00:33:12 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","PREREQS.03","","Sat Nov 09 00:43:22 GMT 2024","passed","Sat Nov 09 00:43:22 GMT 2024","","MAIN-BRANCH","MAIN-BRANCH",""
"","2","ADD-REMOVE-MATCH-STRINGS.10","","Sat Nov 09 00:50:08 GMT 2024","passed","Sat Nov 09 00:50:08 GMT 2024","","SPACES","SPACES",""
"","4000","chaining.backward_chain","","Sat Nov 09 00:33:08 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","UNIFY-VIA-LET.02","","Sat Nov 09 01:23:43 GMT 2024","passed","Sat Nov 09 01:23:43 GMT 2024","","EXPERIMENTS","EXPERIMENTS",""
"","2","CHAPTER-2-4.16","","Sat Nov 09 00:52:22 GMT 2024","passed","Sat Nov 09 00:52:22 GMT 2024","","SICP-BOOK","SICP-BOOK",""
"","529","BC-XP.06","","Sat Nov 09 00:47:51 GMT 2024","failed","Sat Nov 09 00:47:51 GMT 2024","","CHAINING","CHAINING",""
"","3","D2-HIGHERFUNC.26","","Sat Nov 09 00:33:12 GMT 2024","passed","Sat Nov 09 00:33:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","9757","CLASSICAL.01","","Sat Nov 09 00:59:16 GMT 2024","passed","Sat Nov 09 00:59:25 GMT 2024","","FIZZBUZZ","FIZZBUZZ",""
"","58","C1-GROUNDED-BASIC.15","","Sat Nov 09 00:33:12 GMT 2024","failed","Sat Nov 09 00:33:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","5","TRUTHVALUETEST.07","","Sat Nov 09 01:13:39 GMT 2024","passed","Sat Nov 09 01:13:39 GMT 2024","","TRUTHVALUE","TRUTHVALUE",""
"","2","GROUNDED-BASIC.02","","Sat Nov 09 00:50:50 GMT 2024","passed","Sat Nov 09 00:50:50 GMT 2024","","STD","STD",""
"","2","SUPERCOLLAPSE.07","","Sat Nov 09 00:38:39 GMT 2024","passed","Sat Nov 09 00:38:39 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","5000","comparisons.inf-ctl-month-xp-long","","Sat Nov 09 00:33:08 GMT 2024","passed","Sat Nov 09 00:33:13 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","D2-HIGHERFUNC.25","","Sat Nov 09 00:42:55 GMT 2024","passed","Sat Nov 09 00:42:55 GMT 2024","","QUICK","QUICK",""
"","6","JOHN-CARRY-FLOWER-TEST.04","","Sat Nov 09 01:22:35 GMT 2024","passed","Sat Nov 09 01:22:35 GMT 2024","","JOHN-CARRY-FLOWER","JOHN-CARRY-FLOWER",""
"","2","INF-CTL-MONTH-XP-SHORT-3.07","","Sat Nov 09 02:01:07 GMT 2024","passed","Sat Nov 09 02:01:07 GMT 2024","","COMPARISONS","COMPARISONS",""
"","2","APPEND.02","","Sat Nov 09 01:52:26 GMT 2024","passed","Sat Nov 09 01:52:26 GMT 2024","","MULTIDIRECTIONAL","MULTIDIRECTIONAL",""
"","2","PC-XP.04","","Sat Nov 09 01:21:50 GMT 2024","passed","Sat Nov 09 01:21:50 GMT 2024","","POLYWARD-CHAINING","POLYWARD-CHAINING",""
"","2071","TESTS2.09","","Sat Nov 09 00:43:22 GMT 2024","failed","Sat Nov 09 00:43:24 GMT 2024","","MAIN-BRANCH","MAIN-BRANCH",""
