"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5000","anti-regression.test_if_closed","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","TESTS0.03","","Tue Nov 12 00:43:46 GMT 2024","passed","Tue Nov 12 00:43:46 GMT 2024","","MAIN-BRANCH","MAIN-BRANCH",""
"","2","SUPERPOSE-NESTED.03","","Tue Nov 12 00:38:57 GMT 2024","passed","Tue Nov 12 00:38:57 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","92","D5-AUTO-TYPES.06","","Tue Nov 12 00:33:24 GMT 2024","failed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","40000","comparisons.naive-fib","","Tue Nov 12 00:33:19 GMT 2024","failed","Tue Nov 12 00:33:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","DEBUG-METTALOGTESTCURRIED.11","","Tue Nov 12 01:46:34 GMT 2024","passed","Tue Nov 12 01:46:34 GMT 2024","","WALK-THRU","WALK-THRU",""
"","3","HYPERPOSE.01","","Tue Nov 12 00:38:57 GMT 2024","passed","Tue Nov 12 00:38:57 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","242","CREATION.03","","Tue Nov 12 01:06:31 GMT 2024","failed","Tue Nov 12 01:06:31 GMT 2024","","TRAVERSER","TRAVERSER",""
"","1","NATSTANDALONETEST.07","","Tue Nov 12 01:16:21 GMT 2024","passed","Tue Nov 12 01:16:21 GMT 2024","","HOL","HOL",""
"","43000","examples.benchmark","","Tue Nov 12 00:33:19 GMT 2024","failed","Tue Nov 12 00:34:02 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","V2-PLN-XP-EASY-IMPL.01","","Tue Nov 12 00:48:11 GMT 2024","passed","Tue Nov 12 00:48:11 GMT 2024","","CHAINING","CHAINING",""
"","2","C2-SPACES.04","","Tue Nov 12 00:33:14 GMT 2024","passed","Tue Nov 12 00:33:14 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","B5-TYPES-PRELIM.09","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","74","ADD-REMOVE-MATCH-FLOAT.16","","Tue Nov 12 00:50:28 GMT 2024","failed","Tue Nov 12 00:50:28 GMT 2024","","SPACES","SPACES",""
"","3","MATCH-VOID.01","","Tue Nov 12 00:38:57 GMT 2024","passed","Tue Nov 12 00:38:57 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","5000","red-black-lambda.red-black","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","SUPPORTRULEEXP.03","","Tue Nov 12 01:12:13 GMT 2024","passed","Tue Nov 12 01:12:13 GMT 2024","","DEPENDENT-TYPES","DEPENDENT-TYPES",""
"","3","F1-IMPORTS.13","","Tue Nov 12 00:33:14 GMT 2024","passed","Tue Nov 12 00:33:14 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","183","SYNTHESIZE-VIA-UNIFY-TEST.05","","Tue Nov 12 01:24:05 GMT 2024","failed","Tue Nov 12 01:24:05 GMT 2024","","EXPERIMENTS","EXPERIMENTS",""
"","3","PC-XP.08","","Tue Nov 12 01:22:13 GMT 2024","passed","Tue Nov 12 01:22:13 GMT 2024","","POLYWARD-CHAINING","POLYWARD-CHAINING",""
"","1","D1-GADT.14","","Tue Nov 12 00:43:18 GMT 2024","passed","Tue Nov 12 00:43:18 GMT 2024","","QUICK","QUICK",""
"","164","SPACE-SUBTRACTION-TESTS.08","","Tue Nov 12 00:35:03 GMT 2024","passed","Tue Nov 12 00:35:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","CHAPTER-1-2.04","","Tue Nov 12 00:52:43 GMT 2024","passed","Tue Nov 12 00:52:43 GMT 2024","","SICP-BOOK","SICP-BOOK",""
"","2","AI-SERVICE-COMPOSITION-SANITY.05","","Tue Nov 12 01:06:42 GMT 2024","passed","Tue Nov 12 01:06:42 GMT 2024","","AI-SERVICE","AI-SERVICE",""
"","3","ORIENTATION-TEST.01","","Tue Nov 12 01:23:12 GMT 2024","passed","Tue Nov 12 01:23:12 GMT 2024","","ORIENTATION","ORIENTATION",""
"","2","MATCH-SUPERPOSED-SPACES.03","","Tue Nov 12 00:38:57 GMT 2024","passed","Tue Nov 12 00:38:57 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","REWRITES.01","","Tue Nov 12 01:05:01 GMT 2024","passed","Tue Nov 12 01:05:01 GMT 2024","","STACK-BASED","STACK-BASED",""
"","2","BACKWARD-CHAINER-XP.36","","Tue Nov 12 01:13:21 GMT 2024","passed","Tue Nov 12 01:13:21 GMT 2024","","BACKWARD-CHAINER","BACKWARD-CHAINER",""
"","2","TYPE-PROP.46","","Tue Nov 12 01:09:13 GMT 2024","passed","Tue Nov 12 01:09:13 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","401","SYNTHESIZE-VIA-CASE-TEST.01","","Tue Nov 12 01:24:05 GMT 2024","failed","Tue Nov 12 01:24:05 GMT 2024","","EXPERIMENTS","EXPERIMENTS",""
"","2","CURRIED-CHAINER.08","","Tue Nov 12 01:14:14 GMT 2024","passed","Tue Nov 12 01:14:14 GMT 2024","","CURRIED-CHAINING","CURRIED-CHAINING",""
"","13","D4-TYPE-PROP.03","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","5","HIGHER-ORDER-FUNCS.08","","Tue Nov 12 00:51:09 GMT 2024","passed","Tue Nov 12 00:51:09 GMT 2024","","STD","STD",""
"","1","ADD-REMOVE-MATCH-INTEGER.27","","Tue Nov 12 00:50:28 GMT 2024","passed","Tue Nov 12 00:50:28 GMT 2024","","SPACES","SPACES",""
"","6000","nars_v0.tests0","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:25 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","D1-GADT.03","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","5000","metta-morph_tests.add_atom_match","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","45000","constraint.types","","Tue Nov 12 00:33:19 GMT 2024","failed","Tue Nov 12 00:34:04 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","128","JOHN-CARRY-FLOWER-TEST.03","","Tue Nov 12 01:22:59 GMT 2024","passed","Tue Nov 12 01:22:59 GMT 2024","","JOHN-CARRY-FLOWER","JOHN-CARRY-FLOWER",""
