"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 07 00:35:53 GMT 2024","Mon Oct 07 00:35:57 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","walk_thru.bchain",""
"passed","Mon Oct 07 00:35:53 GMT 2024","Mon Oct 07 00:35:58 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.supercollapse",""
"passed","Mon Oct 07 01:15:45 GMT 2024","Mon Oct 07 01:15:45 GMT 2024","2","","DEPENDENT-TYPES","","DEPENDENT-TYPES","","SUPPORTRULEEXP.03",""
"passed","Mon Oct 07 01:21:01 GMT 2024","Mon Oct 07 01:21:01 GMT 2024","290","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-XP.09",""
"passed","Mon Oct 07 00:45:50 GMT 2024","Mon Oct 07 00:45:50 GMT 2024","1","","QUICK","","QUICK","","D2-HIGHERFUNC.13",""
"passed","Mon Oct 07 01:19:55 GMT 2024","Mon Oct 07 01:19:55 GMT 2024","2","","HOL","","HOL","","NATSTANDALONETEST.05",""
"passed","Mon Oct 07 01:50:09 GMT 2024","Mon Oct 07 01:50:09 GMT 2024","2","","WALK-THRU","","WALK-THRU","","BCHAIN.06",""
"passed","Mon Oct 07 00:35:53 GMT 2024","Mon Oct 07 00:36:10 GMT 2024","17000","","WHOLE-TESTS","","WHOLE-TESTS","","nondet_unify.run",""
"passed","Mon Oct 07 02:05:05 GMT 2024","Mon Oct 07 02:05:05 GMT 2024","3","","COMPARISONS","","COMPARISONS","","NILS-IF-CONTROL-TEST-3.01",""
"failed","Mon Oct 07 00:52:47 GMT 2024","Mon Oct 07 00:52:47 GMT 2024","113","","INTROSPECT","","INTROSPECT","","SHOW-TYPE.14",""
"passed","Mon Oct 07 00:37:34 GMT 2024","Mon Oct 07 00:37:34 GMT 2024","344","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-SUBTRACTION-TESTS.07",""
"passed","Mon Oct 07 00:35:53 GMT 2024","Mon Oct 07 00:35:57 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","std.gadt",""
"passed","Mon Oct 07 00:35:53 GMT 2024","Mon Oct 07 00:35:57 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","std.get-atoms-test",""
"passed","Mon Oct 07 00:54:27 GMT 2024","Mon Oct 07 00:54:27 GMT 2024","2","","STD","","STD","","KB-WRITE.02",""
"passed","Mon Oct 07 00:37:34 GMT 2024","Mon Oct 07 00:37:34 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","OR-TEST.08",""
"passed","Mon Oct 07 00:35:57 GMT 2024","Mon Oct 07 00:35:57 GMT 2024","13","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.20",""
"passed","Mon Oct 07 01:23:06 GMT 2024","Mon Oct 07 01:23:06 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.22",""
"failed","Mon Oct 07 01:21:01 GMT 2024","Mon Oct 07 01:21:01 GMT 2024","14","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-MONTH-BC-XP.03",""
"passed","Mon Oct 07 01:10:12 GMT 2024","Mon Oct 07 01:10:12 GMT 2024","1","","AI-SERVICE","","AI-SERVICE","","AI-SERVICE-COMPOSITION-EASY.05",""
"failed","Mon Oct 07 00:37:34 GMT 2024","Mon Oct 07 00:37:34 GMT 2024","103","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.31",""
"passed","Mon Oct 07 01:21:01 GMT 2024","Mon Oct 07 01:21:01 GMT 2024","3","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-MONTH-BC-CONT-XP.01",""
"passed","Mon Oct 07 00:37:34 GMT 2024","Mon Oct 07 00:37:34 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.08",""
"passed","Mon Oct 07 00:43:39 GMT 2024","Mon Oct 07 00:43:39 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","BCHAIN.03",""
"passed","Mon Oct 07 00:53:45 GMT 2024","Mon Oct 07 00:53:45 GMT 2024","133","","SPACES","","SPACES","","ADD-REMOVE-MATCH-FLOAT.14",""
"passed","Mon Oct 07 02:05:05 GMT 2024","Mon Oct 07 02:05:05 GMT 2024","2","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-SHORT.02",""
"passed","Mon Oct 07 02:11:20 GMT 2024","Mon Oct 07 02:11:20 GMT 2024","2","","LANGUAGE-MODELS","","LANGUAGE-MODELS","","UNWEIGHTED-PLLM.05",""
"failed","Mon Oct 07 00:55:46 GMT 2024","Mon Oct 07 00:55:46 GMT 2024","52","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.74",""
"passed","Mon Oct 07 01:21:01 GMT 2024","Mon Oct 07 01:21:01 GMT 2024","2","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-MONTH-BC-CONT-XP.09",""
"passed","Mon Oct 07 00:53:45 GMT 2024","Mon Oct 07 00:53:45 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-S-STRINGS.05",""
"passed","Mon Oct 07 01:16:58 GMT 2024","Mon Oct 07 01:16:58 GMT 2024","1","","BACKWARD-CHAINING","","BACKWARD-CHAINING","","BC-XP.13",""
